11/02/2017 11:16:20 AM preworker.prepairMaps     INFO     prepair year = 20
11/02/2017 11:16:20 AM preworker.prepairMaps     INFO     prepair year = 30
11/02/2017 11:16:21 AM preworker.prepairMaps     INFO     prepair year = 40
11/02/2017 11:16:21 AM preworker.prepairMaps     INFO     prepair year = 50
11/02/2017 11:16:21 AM preworker.prepairMaps     INFO     prepair year = 60
11/02/2017 11:16:21 AM preworker.prepairMaps     INFO     prepair year = 70
11/02/2017 11:16:21 AM preworker.prepairMaps     INFO     prepair year = 80
11/02/2017 11:16:22 AM preworker.prepairMaps     INFO     prepair year = 90
11/02/2017 11:16:22 AM preworker.prepairMaps     INFO     prepair year = 100
11/02/2017 11:16:23 AM landis.tiler              DEBUG    Start tiling process with multiprocessing
11/02/2017 11:16:27 AM landis.tiler              DEBUG    End tiling process with multiprocessing
11/02/2017 11:16:27 AM preworker.prepairMaps     INFO     scenario: Baseline Climate, BaseWind
11/02/2017 11:16:27 AM preworker.prepairMaps     INFO     extension: Output Leaf Biomass
11/02/2017 11:16:27 AM preworker.prepairMaps     INFO     output: Species Biomass Map: fraxamer
11/02/2017 11:16:27 AM preworker.prepairMaps     INFO     prepair year = 0
11/02/2017 11:16:27 AM preworker.prepairMaps     INFO     prepair year = 10
11/02/2017 11:16:27 AM preworker.prepairMaps     INFO     prepair year = 20
11/02/2017 11:16:27 AM preworker.prepairMaps     INFO     prepair year = 30
11/02/2017 11:16:27 AM preworker.prepairMaps     INFO     prepair year = 40
11/02/2017 11:16:27 AM preworker.prepairMaps     INFO     prepair year = 50
11/02/2017 11:16:27 AM preworker.prepairMaps     INFO     prepair year = 60
11/02/2017 11:16:28 AM preworker.prepairMaps     INFO     prepair year = 70
11/02/2017 11:16:28 AM preworker.prepairMaps     INFO     prepair year = 80
11/02/2017 11:16:28 AM preworker.prepairMaps     INFO     prepair year = 90
11/02/2017 11:16:28 AM preworker.prepairMaps     INFO     prepair year = 100
11/02/2017 11:16:29 AM landis.tiler              DEBUG    Start tiling process with multiprocessing
11/02/2017 11:16:32 AM landis.tiler              DEBUG    End tiling process with multiprocessing
11/02/2017 11:16:32 AM preworker.prepairMaps     INFO     scenario: Baseline Climate, BaseWind
11/02/2017 11:16:32 AM preworker.prepairMaps     INFO     extension: Output Leaf Biomass
11/02/2017 11:16:32 AM preworker.prepairMaps     INFO     output: Species Biomass Map: fraxnigr
11/02/2017 11:16:32 AM preworker.prepairMaps     INFO     prepair year = 0
11/02/2017 11:16:32 AM preworker.prepairMaps     INFO     prepair year = 10
11/02/2017 11:16:32 AM preworker.prepairMaps     INFO     prepair year = 20
11/02/2017 11:16:32 AM preworker.prepairMaps     INFO     prepair year = 30
11/02/2017 11:16:32 AM preworker.prepairMaps     INFO     prepair year = 40
11/02/2017 11:16:32 AM preworker.prepairMaps     INFO     prepair year = 50
11/02/2017 11:16:33 AM preworker.prepairMaps     INFO     prepair year = 60
