11/03/2017 02:02:47 PM preworker.prepairMaps     INFO     prepair year = 20
11/03/2017 02:02:47 PM preworker.prepairMaps     INFO     prepair year = 30
11/03/2017 02:02:47 PM preworker.prepairMaps     INFO     prepair year = 40
11/03/2017 02:02:47 PM preworker.prepairMaps     INFO     prepair year = 50
11/03/2017 02:02:47 PM preworker.prepairMaps     INFO     prepair year = 60
11/03/2017 02:02:47 PM preworker.prepairMaps     INFO     prepair year = 70
11/03/2017 02:02:48 PM preworker.prepairMaps     INFO     prepair year = 80
11/03/2017 02:02:48 PM preworker.prepairMaps     INFO     prepair year = 90
11/03/2017 02:02:48 PM preworker.prepairMaps     INFO     prepair year = 100
11/03/2017 02:02:49 PM landis.tiler              DEBUG    Start tiling process with multiprocessing
11/03/2017 02:02:53 PM landis.tiler              DEBUG    End tiling process with multiprocessing
11/03/2017 02:02:53 PM preworker.prepairMaps     INFO     scenario: Climate Change, BaseWind
11/03/2017 02:02:53 PM preworker.prepairMaps     INFO     extension: Output Leaf Biomass
11/03/2017 02:02:53 PM preworker.prepairMaps     INFO     output: Species Biomass Map: acersacc
11/03/2017 02:02:53 PM preworker.prepairMaps     INFO     prepair year = 0
11/03/2017 02:02:53 PM preworker.prepairMaps     INFO     prepair year = 10
11/03/2017 02:02:54 PM preworker.prepairMaps     INFO     prepair year = 20
11/03/2017 02:02:54 PM preworker.prepairMaps     INFO     prepair year = 30
11/03/2017 02:02:54 PM preworker.prepairMaps     INFO     prepair year = 40
11/03/2017 02:02:54 PM preworker.prepairMaps     INFO     prepair year = 50
11/03/2017 02:02:54 PM preworker.prepairMaps     INFO     prepair year = 60
11/03/2017 02:02:54 PM preworker.prepairMaps     INFO     prepair year = 70
11/03/2017 02:02:54 PM preworker.prepairMaps     INFO     prepair year = 80
11/03/2017 02:02:54 PM preworker.prepairMaps     INFO     prepair year = 90
11/03/2017 02:02:55 PM preworker.prepairMaps     INFO     prepair year = 100
11/03/2017 02:02:55 PM landis.tiler              DEBUG    Start tiling process with multiprocessing
11/03/2017 02:02:59 PM landis.tiler              DEBUG    End tiling process with multiprocessing
11/03/2017 02:02:59 PM preworker.prepairMaps     INFO     scenario: Climate Change, BaseWind
11/03/2017 02:02:59 PM preworker.prepairMaps     INFO     extension: Output Leaf Biomass
11/03/2017 02:02:59 PM preworker.prepairMaps     INFO     output: Species Biomass Map: betualle
11/03/2017 02:02:59 PM preworker.prepairMaps     INFO     prepair year = 0
11/03/2017 02:02:59 PM preworker.prepairMaps     INFO     prepair year = 10
11/03/2017 02:02:59 PM preworker.prepairMaps     INFO     prepair year = 20
11/03/2017 02:02:59 PM preworker.prepairMaps     INFO     prepair year = 30
11/03/2017 02:02:59 PM preworker.prepairMaps     INFO     prepair year = 40
11/03/2017 02:02:59 PM preworker.prepairMaps     INFO     prepair year = 50
11/03/2017 02:02:59 PM preworker.prepairMaps     INFO     prepair year = 60
11/03/2017 02:03:00 PM preworker.prepairMaps     INFO     prepair year = 70
11/03/2017 02:03:00 PM preworker.prepairMaps     INFO     prepair year = 80
11/03/2017 02:03:00 PM preworker.prepairMaps     INFO     prepair year = 90
11/03/2017 02:03:00 PM preworker.prepairMaps     INFO     prepair year = 100
11/03/2017 02:03:01 PM landis.tiler              DEBUG    Start tiling process with multiprocessing
11/03/2017 02:03:04 PM landis.tiler              DEBUG    End tiling process with multiprocessing
11/03/2017 02:03:04 PM preworker.prepairMaps     INFO     scenario: Climate Change, BaseWind
11/03/2017 02:03:04 PM preworker.prepairMaps     INFO     extension: Output Leaf Biomass
11/03/2017 02:03:04 PM preworker.prepairMaps     INFO     output: Species Biomass Map: betupapy
11/03/2017 02:03:04 PM preworker.prepairMaps     INFO     prepair year = 0
11/03/2017 02:03:04 PM preworker.prepairMaps     INFO     prepair year = 10
11/03/2017 02:03:04 PM preworker.prepairMaps     INFO     prepair year = 20
