Time,InitRow,InitColumn,TotalSites,DamagedSites,CohortsKilled,MeanSeverity,
10, 854, 14, 45, 45, 512, 5, 
10, 857, 518, 108, 11, 112, 5, 
10, 857, 642, 113, 113, 17, 1, 
10, 859, 31, 142, 134, 109, 2, 
10, 859, 62, 15, 15, 97, 4, 
10, 860, 464, 2, 2, 16, 5, 
10, 863, 7, 137, 130, 50, 1, 
10, 864, 573, 172, 0, 0, 0, 
10, 865, 36, 23, 23, 100, 4, 
10, 865, 542, 335, 335, 80, 1, 
10, 871, 616, 31, 31, 185, 4, 
10, 875, 602, 26, 0, 0, 0, 
10, 876, 444, 211, 201, 86, 1.85, 
10, 879, 159, 3, 3, 2, 1, 
10, 882, 626, 55, 0, 0, 0, 
10, 885, 20, 20, 20, 224, 5, 
10, 885, 158, 50, 42, 18, 1.93, 
10, 886, 95, 30, 0, 0, 0, 
10, 887, 414, 66, 66, 26, 2, 
10, 889, 251, 501, 496, 250, 2, 
10, 891, 36, 56, 56, 363, 5, 
10, 893, 405, 164, 0, 0, 0, 
10, 893, 523, 57, 57, 129, 1.89, 
10, 894, 376, 203, 157, 79, 2, 
10, 894, 513, 28, 0, 0, 0, 
10, 895, 127, 54, 0, 0, 0, 
10, 895, 417, 5, 0, 0, 0, 
10, 898, 44, 214, 214, 1551, 5, 
10, 899, 527, 24, 20, 27, 1, 
10, 904, 509, 2, 0, 0, 0, 
10, 906, 74, 399, 0, 0, 0, 
10, 915, 119, 94, 94, 64, 1.97, 
10, 915, 587, 53, 36, 12, 2, 
10, 915, 616, 40, 39, 65, 3, 
10, 917, 199, 407, 0, 0, 0, 
10, 919, 28, 77, 77, 820, 5, 
10, 919, 476, 10, 10, 37, 4, 
10, 920, 29, 14, 0, 0, 0, 
10, 920, 612, 48, 48, 116, 3, 
10, 925, 440, 38, 0, 0, 0, 
10, 926, 268, 600, 0, 0, 0, 
10, 927, 441, 119, 0, 0, 0, 
10, 931, 95, 4, 0, 0, 0, 
10, 931, 482, 30, 30, 34, 2, 
10, 931, 517, 12, 6, 4, 2, 
10, 932, 420, 137, 0, 0, 0, 
10, 934, 393, 10, 10, 40, 4, 
10, 935, 112, 47, 0, 0, 0, 
10, 937, 140, 1, 0, 0, 0, 
10, 938, 46, 105, 0, 0, 0, 
10, 938, 116, 58, 55, 61, 1, 
10, 942, 135, 39, 0, 0, 0, 
10, 943, 530, 207, 0, 0, 0, 
10, 945, 28, 24, 0, 0, 0, 
10, 945, 258, 199, 199, 2212, 5, 
10, 945, 607, 121, 0, 0, 0, 
10, 952, 391, 31, 0, 0, 0, 
10, 952, 510, 75, 51, 411, 5, 
10, 955, 528, 54, 0, 0, 0, 
10, 957, 185, 582, 0, 0, 0, 
10, 958, 392, 58, 0, 0, 0, 
10, 958, 669, 14, 0, 0, 0, 
10, 959, 472, 128, 70, 29, 2, 
10, 962, 417, 181, 180, 312, 3, 
10, 962, 661, 114, 113, 44, 2, 
10, 964, 379, 51, 0, 0, 0, 
10, 964, 659, 133, 0, 0, 0, 
10, 968, 653, 91, 0, 0, 0, 
20, 13, 642, 2, 2, 8, 4, 
20, 14, 604, 2, 2, 4, 5, 
20, 16, 578, 46, 46, 48, 2, 
20, 21, 518, 599, 0, 0, 0, 
20, 21, 547, 142, 142, 101, 2, 
20, 28, 441, 244, 244, 225, 2, 
20, 34, 504, 240, 0, 0, 0, 
20, 34, 670, 61, 0, 0, 0, 
20, 37, 509, 117, 0, 0, 0, 
20, 37, 564, 114, 0, 0, 0, 
20, 40, 604, 204, 0, 0, 0, 
20, 47, 682, 11, 10, 5, 2, 
20, 62, 492, 2, 0, 0, 0, 
20, 68, 643, 234, 0, 0, 0, 
20, 70, 659, 82, 69, 4, 1, 
20, 76, 358, 310, 302, 1490, 4, 
20, 79, 496, 21, 0, 0, 0, 
20, 83, 427, 2, 0, 0, 0, 
20, 83, 581, 151, 116, 25, 2, 
20, 85, 517, 52, 0, 0, 0, 
20, 89, 466, 113, 113, 772, 5, 
20, 92, 410, 65, 65, 104, 2, 
20, 96, 541, 14, 0, 0, 0, 
20, 97, 484, 73, 73, 402, 4.95, 
20, 98, 492, 4, 4, 15, 3, 
20, 100, 548, 1, 0, 0, 0, 
20, 103, 413, 19, 0, 0, 0, 
20, 105, 586, 491, 489, 103, 1, 
20, 111, 675, 84, 82, 59, 2, 
20, 117, 555, 41, 41, 38, 1.78, 
20, 119, 476, 26, 26, 297, 5, 
20, 123, 633, 247, 247, 2105, 5, 
20, 127, 553, 48, 0, 0, 0, 
20, 130, 530, 24, 0, 0, 0, 
20, 132, 671, 152, 152, 335, 3, 
20, 138, 344, 123, 0, 0, 0, 
20, 141, 502, 25, 0, 0, 0, 
20, 143, 539, 36, 0, 0, 0, 
20, 143, 800, 10, 0, 0, 0, 
20, 143, 806, 45, 0, 0, 0, 
20, 143, 814, 121, 0, 0, 0, 
20, 144, 630, 6, 0, 0, 0, 
20, 145, 502, 50, 33, 5, 1, 
20, 146, 828, 1, 1, 18, 4, 
20, 147, 443, 145, 0, 0, 0, 
20, 147, 543, 1, 0, 0, 0, 
20, 147, 675, 16, 16, 112, 5, 
20, 148, 247, 180, 163, 117, 2, 
20, 148, 622, 57, 48, 16, 3, 
20, 150, 455, 13, 0, 0, 0, 
20, 151, 815, 176, 0, 0, 0, 
20, 152, 400, 157, 156, 81, 2, 
20, 154, 318, 35, 35, 274, 5, 
20, 155, 335, 123, 0, 0, 0, 
20, 155, 492, 26, 0, 0, 0, 
20, 158, 726, 57, 57, 334, 5, 
20, 159, 210, 170, 97, 24, 1, 
20, 161, 802, 2, 0, 0, 0, 
20, 163, 598, 67, 60, 46, 1.43, 
20, 164, 47, 687, 687, 427, 2, 
20, 165, 812, 67, 67, 771, 5, 
20, 166, 774, 14, 0, 0, 0, 
20, 168, 404, 58, 58, 158, 3, 
20, 169, 571, 112, 112, 965, 5, 
20, 174, 471, 34, 0, 0, 0, 
20, 175, 819, 6, 6, 41, 5, 
20, 176, 684, 43, 0, 0, 0, 
20, 176, 708, 13, 0, 0, 0, 
20, 181, 661, 42, 42, 582, 5, 
20, 185, 355, 209, 209, 2273, 5, 
20, 188, 639, 28, 0, 0, 0, 
20, 189, 318, 15, 15, 100, 4.67, 
20, 189, 811, 9, 0, 0, 0, 
20, 190, 496, 11, 7, 5, 2, 
20, 190, 829, 63, 0, 0, 0, 
20, 192, 722, 23, 16, 3, 2, 
